DATE TIME OPEN HIGH LOW CLOSE VOL
220928 170000 1062.9500000 1072.8300000 1062.2500000 1072.8200000 57144769
220928 180000 1072.9900000 1081.4900000 1071.3800000 1074.5700000 45414790
220929 100000 1089.5700000 1092.6200000 1069.0800000 1071.9600000 131302249
220929 110000 1072.0800000 1088.3400000 1071.6500000 1082.7200000 66718073
220929 120000 1082.4700000 1088.2200000 1077.4700000 1078.0500000 56406048
220929 130000 1077.8300000 1078.4200000 1060.9500000 1071.3300000 150129122
220929 140000 1071.2100000 1075.6600000 1063.6100000 1069.3500000 97503326
220929 150000 1069.0100000 1075.6900000 1054.6800000 1065.6800000 69723214
220929 160000 1065.8400000 1073.8800000 1064.3300000 1073.1900000 67887076
220929 170000 1073.2400000 1075.3000000 1060.9500000 1063.2600000 54762014
220929 180000 1064.3900000 1072.2600000 1062.7900000 1072.2600000 52237342
220930 100000 1094.7700000 1105.7500000 1037.7800000 1081.6200000 440674932
220930 110000 1081.7000000 1115.7400000 1077.8500000 1102.3000000 239338497
220930 120000 1102.6600000 1172.1600000 1102.6600000 1137.7300000 350391734
220930 130000 1137.4900000 1138.7900000 1092.7500000 1124.9600000 253368188
220930 140000 1124.8600000 1134.9500000 1070.3000000 1075.6800000 121542326
220930 150000 1075.6500000 1096.9400000 1071.7300000 1076.3000000 169373524
220930 160000 1076.3500000 1096.2300000 1067.8600000 1074.1300000 177552959
220930 170000 1074.0400000 1082.1400000 1049.7400000 1064.3800000 146771534
220930 180000 1064.0500000 1064.6800000 1051.2700000 1055.7200000 41899808
221003 100000 1080.3300000 1094.8700000 1070.1000000 1093.1600000 172954447
221003 110000 1093.0500000 1103.8100000 1091.0000000 1101.0400000 79274116
221003 120000 1100.9700000 1105.4800000 1094.9000000 1100.4800000 44604598
221003 130000 1100.6200000 1115.0200000 1100.4900000 1110.6200000 106844408
221003 140000 1110.7600000 1116.0900000 1104.8800000 1108.8700000 111553073
221003 150000 1108.9000000 1110.2900000 1099.2500000 1100.5900000 68949395
221003 160000 1100.7600000 1105.1500000 1092.0700000 1092.0700000 58664880
221003 170000 1091.8900000 1094.0700000 1073.6500000 1093.9700000 78231509
221003 180000 1093.7300000 1098.4300000 1089.7800000 1091.8700000 44337671
221004 100000 1103.8200000 1115.6300000 1097.1800000 1099.5400000 204905471
221004 110000 1099.1600000 1101.9000000 1081.8300000 1093.8200000 162877670
221004 120000 1093.8300000 1096.4500000 1080.9000000 1083.7600000 101511065
221004 130000 1083.8200000 1088.9400000 1080.1700000 1087.1200000 71290405
221004 140000 1086.9400000 1097.3900000 1086.9400000 1097.3900000 68317627
221004 150000 1097.3400000 1104.7200000 1091.8200000 1093.7300000 59938551
221004 160000 1093.7800000 1096.9200000 1091.7200000 1094.0300000 50461113
221004 170000 1093.8600000 1095.2800000 1080.3700000 1085.4300000 42953813
221004 180000 1085.5100000 1100.1400000 1083.1000000 1100.1400000 44539578
221005 100000 1101.3800000 1101.3800000 1078.7400000 1081.1100000 158167968
221005 110000 1080.6500000 1080.8500000 1056.9700000 1059.3000000 221686546
221005 120000 1059.0300000 1065.8700000 1052.2600000 1053.0700000 91166195
221005 130000 1052.9700000 1067.1400000 1052.7400000 1064.0700000 127624607
221005 140000 1064.0100000 1065.4700000 1051.7400000 1053.6600000 64013979
221005 150000 1053.6700000 1063.9000000 1050.9400000 1061.3500000 49864213
221005 160000 1060.8700000 1072.6500000 1058.3800000 1066.6100000 105445409
221005 170000 1066.8900000 1069.8100000 1063.6200000 1068.6300000 53853168
221005 180000 1068.6900000 1069.0400000 1060.7500000 1061.9700000 24809554
221006 100000 1060.1000000 1079.7300000 1055.6300000 1076.6400000 198036228
221006 110000 1076.8400000 1077.1900000 1065.9900000 1072.5100000 68857138
